geoid,name,state,lat,lon
08087,Morgan County,CO,40.2632,-103.8122
08089,Otero County,CO,37.8842,-103.7213
08091,Ouray County,CO,38.1547,-107.7885
08093,Park County,CO,39.1189,-105.7176
08095,Phillips County,CO,40.5947,-102.3451
08097,Pitkin County,CO,39.2175,-106.9162
08099,Prowers County,CO,37.9582,-102.3922
08101,Pueblo County,CO,38.1628,-104.4847
08103,Rio Blanco County,CO,39.9726,-108.2007
08105,Rio Grande County,CO,37.4859,-106.4531
08107,Routt County,CO,40.4837,-106.9877
08109,Saguache County,CO,38.0317,-106.2347
08111,San Juan County,CO,37.781,-107.6703
08113,San Miguel County,CO,38.0093,-108.4273
08115,Sedgwick County,CO,40.8716,-102.3554
08117,Summit County,CO,39.621,-106.1376
08119,Teller County,CO,38.87,-105.1874
08121,Washington County,CO,39.9658,-103.2097
08123,Weld County,CO,40.556,-104.3837
08125,Yuma County,CO,40.0008,-102.4216
09110,Capitol Planning Region,CT,41.817,-72.5759
09120,Greater Bridgeport Planning Region,CT,41.1846,-73.2094
09130,Lower Connecticut River Valley Planning Region,CT,41.4203,-72.4935
09140,Naugatuck Valley Planning Region,CT,41.5189,-73.0879
09150,Northeastern Connecticut Planning Region,CT,41.8424,-71.9727
09160,Northwest Hills Planning Region,CT,41.8548,-73.2215
09170,South Central Connecticut Planning Region,CT,41.2902,-72.837
09180,Southeastern Connecticut Planning Region,CT,41.4848,-72.1017
09190,Western Connecticut Planning Region,CT,41.2791,-73.4466
10001,Kent County,DE,39.0971,-75.503
10003,New Castle County,DE,39.5759,-75.6441
10005,Sussex County,DE,38.6732,-75.337
11001,District of Columbia,DC,38.9042,-77.0165
12001,Alachua County,FL,29.6757,-82.3572
12003,Baker County,FL,30.3244,-82.3023
12005,Bay County,FL,30.1591,-85.5344
12007,Bradford County,FL,29.9524,-82.1667
12009,Brevard County,FL,28.2983,-80.7003
12011,Broward County,FL,26.1935,-80.4767
12013,Calhoun County,FL,30.3888,-85.1979
12015,Charlotte County,FL,26.9064,-82.0037
12017,Citrus County,FL,28.8503,-82.5956
12019,Clay County,FL,29.9866,-81.865
12021,Collier County,FL,26.1188,-81.401
12023,Columbia County,FL,30.2217,-82.6234
12027,DeSoto County,FL,27.1906,-81.8063
12029,Dixie County,FL,29.5527,-83.2362
12031,Duval County,FL,30.3352,-81.6481
12033,Escambia County,FL,30.53,-87.3203
12035,Flagler County,FL,29.4749,-81.2863
12037,Franklin County,FL,29.6778,-84.8152
12039,Gadsden County,FL,30.5787,-84.6126
12041,Gilchrist County,FL,29.7235,-82.7958
12043,Glades County,FL,26.9548,-81.1908
12045,Gulf County,FL,29.8592,-85.272
12047,Hamilton County,FL,30.4984,-82.9511
12049,Hardee County,FL,27.4928,-81.8216
12051,Hendry County,FL,26.54,-81.1521
12053,Hernando County,FL,28.556,-82.526
12055,Highlands County,FL,27.3411,-81.3424
12057,Hillsborough County,FL,27.8932,-82.38
12059,Holmes County,FL,30.862,-85.8159
12061,Indian River County,FL,27.7005,-80.5748
12063,Jackson County,FL,30.7892,-85.2088
12065,Jefferson County,FL,30.3969,-83.9218
12067,Lafayette County,FL,29.9901,-83.1785
12069,Lake County,FL,28.7641,-81.7123
12071,Lee County,FL,26.5633,-81.9842
12073,Leon County,FL,30.4593,-84.2778
12075,Levy County,FL,29.2719,-82.8312
12077,Liberty County,FL,30.2598,-84.8686
12079,Madison County,FL,30.4472,-83.4704
12081,Manatee County,FL,27.4756,-82.3931
12083,Marion County,FL,29.2028,-82.0431
12085,Martin County,FL,27.0836,-80.3982
12086,Miami-Dade County,FL,25.616,-80.5037
12087,Monroe County,FL,25.5861,-81.0226
12089,Nassau County,FL,30.606,-81.7651
12091,Okaloosa County,FL,30.6143,-86.5911
12093,Okeechobee County,FL,27.3856,-80.8874
12095,Orange County,FL,28.5144,-81.3233
12097,Osceola County,FL,28.059,-81.1393
12099,Palm Beach County,FL,26.6491,-80.4484
12101,Pasco County,FL,28.3098,-82.511
12103,Pinellas County,FL,27.9053,-82.7981
12105,Polk County,FL,27.9537,-81.6935
12107,Putnam County,FL,29.5939,-81.732
12109,St. Johns County,FL,29.8905,-81.4
12111,St. Lucie County,FL,27.3798,-80.4435
12113,Santa Rosa County,FL,30.6753,-87.0189
12115,Sarasota County,FL,27.2253,-82.4237
12117,Seminole County,FL,28.6901,-81.132
12119,Sumter County,FL,28.714,-82.0697
12121,Suwannee County,FL,30.1892,-82.9928
12123,Taylor County,FL,29.9671,-83.6396
12125,Union County,FL,30.0543,-82.3669
12127,Volusia County,FL,29.0578,-81.1618
12129,Wakulla County,FL,30.0913,-84.3591
12131,Walton County,FL,30.5712,-86.1628
12133,Washington County,FL,30.6021,-85.6558
13001,Appling County,GA,31.7397,-82.2901
13003,Atkinson County,GA,31.2968,-82.8782
13005,Bacon County,GA,31.5502,-82.4514
13007,Baker County,GA,31.3196,-84.4549
13009,Baldwin County,GA,33.0595,-83.2555
13011,Banks County,GA,34.3519,-83.4984
13013,Barrow County,GA,33.992,-83.7123
13015,Bartow County,GA,34.2409,-84.8382
13017,Ben Hill County,GA,31.7408,-83.1472
13019,Berrien County,GA,31.2887,-83.2279
13021,Bibb County,GA,32.8088,-83.6942
13023,Bleckley County,GA,32.4354,-83.3317
13025,Brantley County,GA,31.1973,-81.983
13027,Brooks County,GA,30.8229,-83.5819
13029,Bryan County,GA,32.018,-81.4385
13031,Bulloch County,GA,32.3945,-81.7416
13033,Burke County,GA,33.0602,-82.0002
13035,Butts County,GA,33.2904,-83.9582
13037,Calhoun County,GA,31.5213,-84.6263
13039,Camden County,GA,30.9134,-81.642
13043,Candler County,GA,32.404,-82.0713
13045,Carroll County,GA,33.5822,-85.0805
13047,Catoosa County,GA,34.9002,-85.1394
13049,Charlton County,GA,30.7799,-82.1396
13051,Chatham County,GA,31.9804,-81.0852
13053,Chattahoochee County,GA,32.3474,-84.788
13055,Chattooga County,GA,34.4742,-85.3453
13057,Cherokee County,GA,34.2443,-84.4751
13059,Clarke County,GA,33.9522,-83.3672
13061,Clay County,GA,31.6198,-84.9926
13063,Clayton County,GA,33.5516,-84.4129
13065,Clinch County,GA,30.9177,-82.7026
13067,Cobb County,GA,33.9399,-84.5741
13069,Coffee County,GA,31.5492,-82.8449
13071,Colquitt County,GA,31.1897,-83.7698
13073,Columbia County,GA,33.5521,-82.2496
13075,Cook County,GA,31.1525,-83.4294
13077,Coweta County,GA,33.3529,-84.7621
13079,Crawford County,GA,32.7094,-83.9792
13081,Crisp County,GA,31.9203,-83.7565
13083,Dade County,GA,34.8524,-85.5062
13085,Dawson County,GA,34.4426,-84.1733
13087,Decatur County,GA,30.8806,-84.5839
